!	!
"	"
%	80
,	,
-	-
-шотландцы	халық
.	.
...	атап
...его	...міне
16	Аравияда
1979	Ақыры
2003	көз
250	250
300000	қаза
80	халықтың
90	күнде
:	:
?	?
Visiontext	аударған
visiontext	аударған
А	Ал
А.	деседі
А?	!
Авария	байқаусызда
Австрии	министірімін
Ага	Аха
Ай-яй-яй	Апа
Алло	Саламатсыз
Амин	Амин
Амина	адамдары
Амине	айт
Амином	сұраған
Англии	жинадық
Анжела	Анжелла
Аравии	Сауды
Африка	Африка
Африке	Африкада
Африку	барамын
Ах	балақай
Бабушка	Бұл
Беги	кеш
Беда	етіңіз
Без	Тікелей
Безусловно	Иә
Белый	Ақ
Берегите	саламат
Бери	жемекпісің
Билеты	Мынау
Бирки	Мұны
Бирку	Қандай
Боже	Алла
Божь	қолында
Болотник	рухы
Болотника	қажет
Больно	Доғар
Больше	саған
Большое	үлкен
Бонни	Бонни
Ботинки	туфлиді
Бред	деген
Британец	Британдықсыз
Британская	Британ
Британское	Британ
Британцы	Британдықтар
Бросила	Тіпті
Брюнер	Брунер
Будем	Николас
Будет	Өтінемін
Буду	Жете
Будь	Сайтан
Бывший	Бұрынғы
Было	Қайда
Быстренько	Жылдам
Быстро	жина
В	Бұл
Вам	Алдымен
Вас	Сіз
Ваше	ашыңыз
Вдохни	дем
Ведь	Оларда
Великобритании	аШтым
Велосипед	Велосипед
Верните	Тез
Верно	Дұрыс
Вернусь	Сонда
Верховную	Комиссияға
Верховный	Жоғарғы
Видишь	Қан
Виски	Виски
Вкуснота	сұмдық дәмді
Вместе	Біз
Вместо	Оларды
Внизу	Могамбодағы
Внучка	немерем
Вода	Су
Военные	Әскерлер
Возвращайся	ары
Возможно	Мүмкін
Возьмите	Жақсы
Вокруг	Айналамның
Волшебная	Дзэнибаның
Вон	Әне
Воссва	Васва
Воссвой	ісі ғой
Вот	Міне
Вроде	Кімсің
Все	Бәрі
Все-таки	Бәрібір
Всегда	Үйге
Всем	Тік
Всех	Юбаба
Вставайте	Енді
Встань	Тұр
Всю	қолдарымен
Всякий	Әр
Входи	кір
Вчера	КеШе
Вы	Сен
Выдумали	Қалай
Выжив	Тірі
Выйди	тұр
Выплевывай	Түкір
Выходи	Тез
ГАРРИГАН	ГАРИГАН
Гарриган	Гариган
Где	Қайда
Гиппократа	сақтау
Глотай	Осылай
Глядите	иә
Говорят	Ел
Голубой	Әне
Горчица	Қыша
Господа	Мырзалар
Господин	Президент
Госпожа	сіз
Гость	қане
Гость-то	біздің
Готов	Дайынбысың
Готово	Болды
Готовы	даярмысыз
ДОКТОР	ДОКТОР
Да	Иә
Давай	жарайсың
Давайте	көмектесесіңдер
Даже	Керегімізді
Дай	Маған
Дайте	Жұмыс
Дальше	жоғалып
Дамы	Ханымдар
Два	Менің
Дедушка	Ата
Делайте	Безгің
Дело	Білесің
Деньги	АқШа
Деревенская	Ауылдағы
Держи	Алдын-ала
Держись	берілме
Деточка	көрмеймін
Джамшид	ЖамШит
Джой	демалыста
Джунджу	Джунджу
Диплом	Менікіндей
Дитятко	Бо
Для	Шіркеушелер
До	Сау
Добро	Келуіңізбен
Доброе	Қайырлы
Добрый	Қайрылы
Доволен	толды
Доктор	Доктор
Достаточно	Бітті
Дракон	Айдаһар-Хаку
Дрожишь	дірілдейсің
Другого	Бұдан
Друзья	Достар
Думает	Оңбаған
