!	!
"	"
%90'dır	көбірек
,	,
-	-
.	.
."	"
...	...
...i̇ngilizleri	британдықтар
...on	...он
...tir	алғыр
...ve	...міне
...İngilizleri	Британдықтар
10	билет
16	2003
1979'da	Ақыры
1STA	иә
1sta	иә
2003'te	тамызда
250	250
3+	3+
300,	300
4	4
40	Қырық
40.000	0
5	5
5+	5+
90	елден
90'ların	90
:	:
?	?
Aa	сізбе
Acaba	Бөтен
Acele	А
Acholi	Лаңи
Acil	Оны
Acımasız'a	шарттары
Adam	Мына
Adam'ı	алтын
Adama	Адамға
Adamlarını	Адамдарыңды
Adamı	Онда
Adaşım	бірдей
Adımlarınıza	Аяқтарыңның
Adımın	Менің
Adın	Есімің
Aferin	Жарайсың
Affedersin	КеШіріңіз
Affedersiniz	Ата
Afrika	Африка
Afrika'da	Африкада
Afrika'ya	Африкаға
Afrikalılar	Африкандықтар
Ah	Міне
Aha	Міне
Ailemin	егер
Ailen	айдаһар
Air	Полестиналықтар
Al	Ал
Alo	Амансыз
Altyazıları	Субтитірлерін
Altın	алтын
Altıncı	алтыншы
Altınları	тап
Altını	Ұста
Alıntı	КеШіріңіз
Alışveriş	Керегімізді
Ama	Алайда
Aman	Құдайым-ай
Ambulansı	Дәрігерге
Amerikan	Американдық
Amin	Амин
Amin'in	Аминнің
Amin'le	ерекШе
Amma	сондай
Ana	Есікті
Anahtarları	Кілтті
Angela	Анжелла
Anladın	Осылай
Anlamadığın	Өзің
Anlamıyorsun	түсінбейсің
Anlamıyorum	түсінбедім
Anlatmaya	түсіндіруге
Anlıyor	жарға
Anlıyorum	Ол
Anne	Апа
Anneciğim	Апа
Annem	Ал
Annen	Анаң
Annesini	Анасын
Aptal	Ақымақ
Aptallaşma	жиіркенішті
Arabam	көлігім
Arabanı	Көлігіңді
Arabistan'da	Аравияда
Aramızda	Ортада
Araplar	ұрлап
Argentina	Никола
Arkada	Мына
Arkadaşlarının	байлауышты
Arkadaşın	досың
Artık	енді
Askerler	әскерлердің
Askerlerime	әскерлерімді
Asla	дейсің
Aslında	жарайсың
Asyalı	Құрып
Asyalıları	Азиаттарды
Ateşi	Текпешекпен
Atla	Секір
Avusturya	Автрия
Ay	Ауырттың
Ayakkabılarım	туфлиім
Ayakkabılarıma	туфлиім
Ayakkabılarına	туфлиді
Ayakta	алмай
Ayağa	Тұр
Aynı	бірге
Ayrıca	Және
Ayrılmayı	мен
Aç	Аузыңды
Açlıktan	Тамақ
Açıklamalarını	Анықтамаларыңды
Ağlama	Жылама
Ağustos	16
Ağzını	өтінем
BU	БҰЛ
Baba	Апа
Babam	Әкем
Baban	Неге
Bacaklarım	тұра
Bahşiş	сыйлаңыз
Bak	ҚараШы
Bakacağım	бар
Bakalım	Оның
Bakanı	министірді
Bakanı'yım	министірімін
Bakanımı	министірім
Bakayım	Көруге
Bakın	Ал
Bana	Маған
Banyolar	Сен
Banyomuza	мейман
Basit	ӘШейін
Basın	Прес
Bataklık	Батпақ
Bay	мырза
Bayan	Ханымдар
Bazen	кейде
Bazı	Кейбір
Bazıları	Құдайлар
Bağımsız	Тәуелсіз
Baş	Бас
BaşIığı	Тақырыбын
Başardın	Тихиро
Başka	Тағы
Başkaları	басқалары
Başkan	Президент
Başkan'a	Президентті
Başkan'ı	Президент
Başkan'ın	Президент
Başkan'ıyım	президентімін
Başla	Кеттік
Başladığın	соңына
Başım	Басым
Başımız	Кетейікші
Başın	Мынау
Bebeği	оны
Bebeğim	Бо
Bebeğime	сәбиімді
Becerilerimi	білімімді
Bekle	мен
Bekletmeden	қақиып
Bekleyin	Апа
Beladan	Менсіз
Belirleyince	Бүгін
Belki	Мүмкін
Ben	Мен
Bence	МеніңШе
Benden	Менен
Beni	Мені
Benim	Менің
Benimle	Серуендеп
Berbat	Бұрынғысы
Betty'yle	Беттимен
Beyaz	Ақ
Beyler	Мырзалар
Bildin	таптың
Bilet	1
Bilirsin	Білесіз
Biliyor	Білесің
Biliyordum	ем
Biliyorum	Бара
Bilmiyor	білмейсіз
Bilmiyorum	Білмеймін
Bir	Бір
Biraz	Тағы
Biri	Мені
Birinci	1
Birini	Міне
Birisi	Арамызда
Birkaç	БірнеШе
Birlikte	Біз
Birçok	48
Bitti	Анда
Biz	Біз
Bizden	басқасына
Bize	бізге
Bizi	Артымыздан
Bizimle	барасың
Bizsiz	рас
Bol	сияқтымын
Bonny	Бонни
Boş	Сайтан
Bravo	Жақсы
Britanya	Британия
Bruner	Брунер
Bu	Бұл
Bugün	Дүние
Bugüne	осыған
Buldum	таптым
Buna	Бұған
Bunda	Сендерсіз
Bundan	Ендігәрі
Bunlar	Мұның
Bunlardan	Жақсы
Bunları	Мыналарды
Bunların	Айналада
Bunu	Ау-зың-ды
Bunun	Мұның
Bununla	Мұны
Burada	осында
Buradan	Ештеңе
Buralarda	бағыңды
Burası	Бұл
Buraya	Мында
Burda	Мен
Burnunu	мұрныңды
Bölmek	бөлгеніме
Böyle	Осы
Bütün	таза
Büyük	Дәрі
Büyükanne	Әже
Büyükelçisi	Өкілі
Büyüme	неғып
Bırak	Бірақ
Campbell	Кэмпбел
Campbell'ın	Ал
Can	аударған
Cesetleri	өліктерді
Cevap	А
Cezalandırılması	алар
Chih	Ти
Chihiro	Тихиро
Chris	Крис
Chris'i	Кристі
Chris'im	Криспін
Ciddi	Жағдай
Daha	Бұрындары
Darbe	Төңкеріс
David	Дэвид
David'e	АйтпақШы
David'in	Дэвидтің
Davranışlarına	Өзіңді
Dayan	Уайымдама
Dediklerimi	Безгің
Dediğim	Айтқанымдай
Demek	Келгендерің
Deneyelim	Сынап
Deniz	секілді
Derecen	Менікіндей
Derhal	Сенің
Derin	Терең
Devam	Айда
Değil	Джона
Dibi	Дәл
Dibi"	түбі"деген
Diken	Үлкен
Dikkat	Есте
Dinle	Тыңда
Dinlememe	Тыңдап
Dizlerini	Дізесін
Diğer	ЕкінШі
Diğeri	екінШісі
Doktor	Доктор
Doktoru	Дәрігері
Doktorum	Дәрігермін
Doktorunuz	Мені
Doktoruyum	дәрігерімін
Domuza	расымен
Domuzlar	шошқаларды
Dostlar	Достар
Doğada	АуытқуШылықтардың
Doğru	Шын
Doğrudan	Тікелей
Doğrusu	айтсам
Dr	Доктор
Dr.	Доктор
Dur	Тоқта
Duracaktır	тарт
Durmadan	үлкен
Durun	-Хаку
Duyuyor	Естідіңдер
Döndüğümüzde	осында
Dönmüş	ұшып
Dövüş	Мұнда
Dün	КеШе
Düşündüm	ойлап
Düşünemiyorum	Ой
Dışarı	Сыртқа
ESİNLENMİŞTİR	ЖІГЕРЛЕНДІРІЛГЕН
Ee	ванна
Eee	Ол
Ekselansları	мәртебелі
Elbette	Әрине
Elias'a	Элиосқа
Elias'daydım	үйінде
Elim	қолым
Elimden	Қолымнан
Elimizde	жуын
Eline	Жарайсың
Elinizde	Сіздің
Elinizden	Қолыңызжан
Elleri	Әсіресе
Emin	Сенімдісің
Eminim	Бұның
Emirler	Жоғарының
Emirleri	Алған
Emredersiniz	сэр
En	Менің
Endişelenme	Қорықпа
Endişelenmeye	неге
Endişelenmeyin	Апа
Eva	Ева
Evde	үйде
Evet	Иә
Evin	әкең
Evine	Қайт
Evinin	өте
Evli	күйеуі
Eyvah	сайтан
Ezdin	Жаншып
Eğer	Егер
Eğlence	Қызық
Facebook'tan	фейсбуктан
Fahişeye	Жезөкшеден
Fark	Көзге
Farkında	Сол
Fena	Сүйкімді
Fever	Феуердің
Fikirlerimi	бірде
Filistinli	Француз
Fonu'nu	Қорын
FİLM	ФИЛЬМ
Fırsatlarla	Мүмкіндіктерге
Fırında	Кесіртке
GERÇEK	ШЫНАЙЫ
Garrigan	Гариган
Garrigan'ım	Гариганмын
Gayet	Мен
Gazetecileri	Журналистерді
Gazetede	Сөзіңді
Gel	Кел
Geldiğine	Келгеніңе
Gelecek	Алдағы
Gelemeyiz	Бара
Geliyor	келесің
Geliyorum	Ашыңдар
Gelmeli	келуің
Gelmişsin	Келдің
Genellikle	Көбіне
General	генерал
Geri	Айда
Gerisi	қалғаны
Gerçek	Негізінде
Gerçekten	Есімнен
Gidemezsin	қайта
Gidin	Тезірек
Girin	Бері
Git	Бар
Gitmek	90
Gitmeliyiz	бару
Gitmem	мен
Gurur	үШін
Gördün	Міне
Gördüğüm	Тағы
Göreceksin	Өзің
Göreceğiz	Қайда
Görelim	сендерді
Görevden	үйге
Göster	Тездетіп
Gösteriye	Шоуға
Günaydın	таң
Güney	Оңтүстік
Gürültü	Шуламаңдар
Güven	кеттік
Güvende	қауіп
Güzel	Әдемі
Ha	Анау
Hadi	Жүр
Hah	Айдаһардың
Hainler	Айналамның
Hakkınızda	Олар
Haklarını	Ұрдым
Haklı	шын
Haklısın	бара
Haklıydın	айттың
Haku	Хаку
Haku'dan	істейсіз
Haku'ya	досыңды
Haku'yu	келген
Hala	Сонда
Halkınıza	адамдарыңа
Hangi	Жиіркенішті
Hangileri	қайда
Hardal	Қыша
Harika	ТамаШа
Hasta	Ауыру
Hastalar	Қалдары
Hatırlıyorum	Менің
Hava	болмай
Hay	Тыныш
Hayallere	Армандап
Hayallerin	Армандар
Hayatım	Өмір
Hayatımı	Тырысқаныма
Hayatımın	Қалған
Haydi	Кеттік
Hayır	Жоқ
Hazır	Дайындалыңыздар
Hazırım	түсіндірді
Hedefimiz	Баратын
Hem	Ол
Hemen	Кәзір
Hemşire	Меірбике
Hepiniz	Барлықтарыңыз
Hepsi	Бұның
Hepsini	Бұның
Her	Бәріңе
Herhalde	Мүмкін дым
Herkes	Ешкім
Herkese	рахмет
Herkesin	кесіріңнен
Hey	Сэн
Heyecanlı	Қуаныштысыңдар
Hijyenik	клиникалық
Hiç	ЕШтеңе
Hiçbir	Жоқтан
Hiçbiri	Сенімдісің
Hiçbirinde	Мұнда
Holiday	Холидей
Hoş	Сізбен
Hoşgeldin	Қош
Hoşgeldiniz	қымбатты
Hoşuma	Жоқ
Hoşçakal	Әжей
Hoşçakalın	Рахмет
Hükümet	үкімет
Hımm	Қарашы
Hıristiyan	мұсылмандар
Idi	Айди
Ingiltere'de	қосылып
Ingrid	-Ингрид
Inn'de	Инда
Inn'e	Инға
Isak	Исак
Isak'la	Исакпен
Isırmaz	Тістеп
Iyi	ал
Işıklar	өшіремін
Jamshid	ЖамШит
Jonah	Джона
Jonas	Джонас
Jonas'la	болды
Joy	Ол
Junju	Джанджу
Kadehlerinizi	Стакандарыңызды
Kadın	Мұндағы
Kalbimde	дәл
Kalmaya	Сөйтіп
Kalp	Бір
Kamajii	Комази
Kamajii'yi	істейді
Kampala'da	Кампалада
Kanada	Канада
Kapa	сен
Kapatıyorum	кету
Kapıyı	Тоқылдатуды
Karnım	қалдым
Kartına	сергіп
Karım	әйелім
Karışık	Тым
Karşılığında	Мүмкін
Kasabalarda	Қала
Kay	Кей
Kazancı	шексіз
Kazancıya	Комази
Kaç	ҚанШа
Kenara	Құлама
Kendi	Тіпті
Kendilerine	өздерін
Kendilerini	елестер
Kendime	өзімнің
Kendimi	Тізем
Kendin	қол
Kendini	жағдайын
Kendinize	Сау
Kes	Тоқтаңдар
Kesin	міндетті
Keşke	Өзімізбен
Kim	Кім
Kimdi	кім
Kiminle	Кіммен
Kimlerle	Кіммен
Kimse	Түсіне
Kimseye	еШкімге
Kindred	Киндред
Kinin	дегенім
Koca	Міне
Kocam	Менің
Kohaku	Нигихаями
Kokusunu	Мүмкін
Komik	күлкілі
Konforlu	Жағдайы
Kongresi'ni	Пан-Африкандық
Kontratın	кеттік
Konuk	сонда
Konuğumuz	Біздің
Konuş	Айта
Konuşma	Артық
Konuşmak	Сөйлесуіміз
Konuşmayacak	сөйлеспедік
Korkarım	ханымның
Korkma	Қорықпа
